Approved symbol	Previous symbols	Pubmed IDs	Synonyms
ABCF1-DT			
ABCF2		8894702	EST133090, ABC28, M-ABC1, HUSSY-18
ABCF2P1			
ABCF2P2			
ABCF3		8894702	EST201864
ABCG1		8659545, 16870176	ABC8
ABCG2		8894702, 9861027	EST157481, MXR, BCRP, ABCP, CD338
ABCG4		11435397	WHITE2
ABCG5		11099417, 11452359	STSL
ABCG8		11099417, 17626266	GBD4
ABHD1		11922611	LABH1, FLJ36128
ABHD2			LABH2
ABHD3			LABH3
ABHD4			FLJ12816
ABHD5		11590543, 18606822	CGI-58, NCIE2
ABHD6		22969151, 25504894	
ABHD8		12477932	FLJ11743, MGC14280, MGC2512
ABHD10		22294686	FLJ11342
ABHD11	WBSCR21	12073013	PP1226
ABHD11-AS1	WBSCR26, LINC00035	24984296, 25619660, 28157695	NCRNA00035
ABHD12	C20orf22	22969151, 25290914	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A
ABHD12B	C14orf29		BEM46L3
ABHD13	C13orf6		bA153I24.2, FLJ14906, BEM46L1
ABHD14A			DKFZP564O243, DORZ1
ABHD14A-ACY1			
ABHD14B			MGC15429, CIB
ABHD15		12975309	
ABHD15-AS1		24504737	linc-TP53I13, lnc-TP53I13
ABHD16A	BAT5	2911734, 2813433	NG26, D6S82E
ABHD16B	C20orf135		dJ591C20.1
ABHD17A	C19orf27, FAM108A1	14702039, 26701913	MGC5244
ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P		C1orf47
ABHD17AP3	FAM108A4, FAM108A4P		
ABHD17AP4	FAM108A5, FAM108A5P		
ABHD17AP5	FAM108A6, FAM108A6P	9074928	
ABHD17AP6	FAM108A7P		
ABHD17AP7	FAM108A8P		
ABHD17AP8	FAM108A9P		
ABHD17AP9	FAM108A10P		
ABHD17B	C9orf77, FAM108B1	10810093, 26701913	CGI-67
ABHD17C	FAM108C1	26701913	
ABHD18	C4orf29	12477932	FLJ21106
ABI1	SSH3BP1	9593709, 9010225	E3B1, ABI-1
ABI1P1	SSH3BP1P, ABI1P		
ABI2		7590236, 10964520	ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2
ABI3		10978530, 11956071	NESH, SSH3BP3
ABI3BP		11501947	NESHBP, DKFZP586L2024, TARSH
ABITRAM	C9orf6, FAM206A	24349419, 24782708	CG-8, FLJ20457, Simiate
ABITRAMP1	FAM206BP		
ABL1	ABL	1857987, 12626632	JTK7, c-ABL, p150
ABL2	ABLL	3787260	ARG
ABLIM1	LIMAB1, ABLIM	9245787	abLIM, limatin
ABLIM2			KIAA1808
ABLIM3			KIAA0843
ABO		184030	A3GALNT, A3GALT1
ABR		2587217, 7479768, 17116687	MDB
ABRA		11983702	STARS
ABRACL	C6orf115	21082705	PRO2013, HSPC280, Costars
ABRAXAS1	CCDC98, FAM175A	12975309, 17525340	FLJ13614, ABRA1, ABRAXAS
ABRAXAS2	KIAA0157, FAM175B	8590280	Em:AC068896.4, ABRO1
ABT1		10648625	Esf2
ABT1P1			
ABTB1		10891360, 11494141	BPOZ, EF1ABP, Btb3, BTBD21
ABTB2			DKFZP586C1619, BTBD22, ABTB2A
ACAA1			
ACAA2		8241273	DSAEC
ACACA	ACAC, ACC		ACC1
ACACB		8670171	HACC275, ACC2, ACCB
ACAD8		10524212, 12359132	
ACAD9		12359260, 21057504, 20816094	NPD002, MGC14452
ACAD10		15560374	MGC5601
ACAD11			FLJ12592
ACADL		1774065	LCAD, ACAD4
ACADM		3035565	MCAD, MCADH, ACAD1
ACADS		2565344	SCAD, ACAD3
ACADSB		7698750, 7759115	SBCAD, ACAD7
ACADVL		8921384	VLCAD, LCACD, ACAD6
ACAN	MSK16, CSPG1, AGC1	1985970	CSPGCP
ACAP1	CENTB1	11050434, 11062263	KIAA0050
ACAP2	CENTB2	11050434, 11062263	KIAA0041, CNT-B2
ACAP2-IT1			
ACAP3	CENTB5		KIAA1716
ACAT1	ACAT	1979337	THIL
ACAT2		2475872	
ACBD3	GOLPH1, GOCAP1	12692076, 20150326	GCP60, PAP7
ACBD3-AS1		28881755	RP11-275I14.4
ACBD4			FLJ13322
ACBD5		12056414	DKFZp434A2417, KIAA1996
ACBD6		18268358	MGC2404
ACBD7			FLJ38219, bA455B2.2
ACCS		11470512	PHACS, ACS
ACCSL			
ACD		15231715, 15181449	Ptop, Pip1, Tpp1, Tint1
ACE	DCP1	2554286, 10319862	ACE1, CD143
ACE2		10969042	
ACE3P		17597519	
ACER1	ASAH3	12783875	
ACER2	ASAH3L	18945876	FLJ41587, ALKCDase2
ACER3	PHCA	11356846, 18619555	FLJ11238, APHC
ACHE	YT	1380483	
ACIN1	ACINUS	9734811, 10490026	KIAA0670, fSAP152
ACKR1	FY, DARC	8248172, 7663520, 16148	CCBP1, GPD, Dfy, CD234
ACKR2	CMKBR9, CCBP2	9364936, 9405404, 16148	CCR10, D6, CCR9
ACKR3	CMKOR1, CXCR7	16107333, 16148	RDC1, GPR159
ACKR4	CCRL1	10767544, 16148	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1
ACLS		8723117	
ACLY		1371749, 8088842	ATPCL, CLATP, ACL
ACMSD		12140278	
ACNATP	BAATP1	17116739, 18538142	
ACO1	IREB1	2172968, 2771641	IRP1, IREBP
ACO2		10591208	ACONM
ACOD1	IRG1	12893884, 23610393	CAD
ACOT1		16103133, 16940157	ACH2, CTE-1, LACH2
ACOT2		16103133, 16940157	Mte1, ZAP128
ACOT4		16103133, 16940157	FLJ31235, PTE-Ib, PTE2B
ACOT6	C14orf42	16940157	
ACOT7		10578051, 16103133, 16940157	BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH
ACOT8	PTE1	10092594, 9153233, 16103133, 16940157	hACTE-III, hTE, PTE-2, NAP1
ACOT9		10383425, 10810093, 16103133, 16940157	CGI-16, MT-ACT48, ACATE2
ACOT11	THEA	11696000, 16103133, 16940157	STARD14, BFIT, KIAA0707, BFIT1, THEM1
ACOT12		16103133, 16940157	Cach, THEAL, STARD15
ACOT13	THEM2	16934754, 19405909	HT012
ACOX1		8159712	PALMCOX
ACOX2		8943006, 9070889	BRCACOX, BRCOX, THCCox
ACOX3		9271077	
ACOXL			FLJ11042
ACOXL-AS1			
ACP1		457131, 1587862, 8586411	HAAP, LMW-PTP, LMWPTP
ACP2		975882	LAP
ACP4	ACPT	11414767	
ACP5		8449511, 2338077	TRAP, HPAP
ACP6		12010880, 10506173	LPAP, ACPL1
ACP7		16793224	FLJ16165, PAPL1, PAPL
ACPP		1375464, 2842184	ACP3, ACP-3, PAP
ACR		2298447, 12398221	
ACRBP		11248070	SP32, OY-TES-1, CT23
ACRV1		1693291, 8288254	SPACA2, SP-10, D11S4365
ACSBG1		9734811, 10954726	BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG
ACSBG2		11230166	BGR, PRTD-NY3, DKFZp434K1635
ACSF2		17762044	FLJ20920, ACSMW
ACSF3		17762044, 21846720	
ACSL1	FACL2	2341402, 1531127	LACS2, LACS, ACS1, LACS1, FACL1
ACSL3	FACL3		ACS3, PRO2194
ACSL4	FACL4, MRX63, MRX68	9480748, 12949969	ACS4, LACS4
ACSL5	FACL5	11127823	ACS5, ACS2
ACSL6	FACL6	10502316, 10548543	KIAA0837, ACS2, LACS5, LACS2
ACSM1	BUCS1	11470804, 12654705	MACS1
ACSM2A	ACSM2		A-923A4.1, MGC150530
ACSM2B	ACSM2	12616642	HXMA, HYST1046
ACSM3	SAH	7843754, 7907320, 11470804	SA
ACSM4		17762044	
ACSM5		17762044	FLJ20581
ACSM5P1			
ACSM6	C10orf129	23884467	bA310E22.3
ACSS1	ACAS2L		dJ568C11.3, AceCS2L, MGC33843
ACSS2	ACAS2	10843999	ACS, ACSA, AceCS, dJ1161H23.1
ACSS3		17762044	FLJ21963
ACTA1	ACTA	10072583, 6865942	NEM3
ACTA2		2398629	ACTSA
ACTA2-AS1		24721325, 28088733	uc001kfo.1, ZXF1, UC001kfo
ACTB		1505215	
ACTBL2			DKFZp686D0972
ACTBP1			
ACTBP2		3837182	
ACTBP3		3837182	
ACTBP4		3837182	
ACTBP6			
ACTBP7		6296793, 6571702	
ACTBP8		6296793	ACTBP2
ACTBP9		8941379	
ACTBP10			
ACTBP11			
ACTBP12	ACTGP5		
ACTBP13			
ACTBP14			
ACTC1	ACTC	1639426	CMD1R
ACTG1	ACTG, DFNA20, DFNA26	14684684	
ACTG1P1	ACTGP1, ACT1GP1		
ACTG1P2	ACTL2, ACTGP2		
ACTG1P3	ACTGP3	8941379	
ACTG1P4	ACTGP4	1692956	
ACTG1P6	ACTGP6	1692956	
ACTG1P7	ACTGP7	1692956	
ACTG1P8	ACTGP8	1692956	
ACTG1P9	ACTGP9		
ACTG1P10	ACTL1, ACTGP10	6592095	
ACTG1P11			
ACTG1P12			
ACTG1P13			
ACTG1P14			
ACTG1P15			
ACTG1P16			
ACTG1P17			
ACTG1P18			
ACTG1P19			
ACTG1P20			
ACTG1P21			
ACTG1P22			
ACTG1P23			
ACTG1P24	POTENP		
ACTG2	ACTL3, ACTA3	1710027, 1673027	ACTSG
ACTL6A		9845365, 10380635	Actl6, BAF53A, Arp4, Baf53a, INO80K
ACTL6B	ACTL6	9799793	BAF53B
ACTL7A		10373328	
ACTL7B		10373328, 12907721	Tact1
ACTL8			CT57
ACTL9			MGC33407
ACTL10	C20orf134		
ACTN1		2349951	
ACTN1-AS1	C14orf84		
ACTN2		1339456	
ACTN3		1339456, 17828264	
ACTN4	FSGS1	9461087, 10700177	
ACTN4P1			
ACTN4P2			
ACTP1			
ACTR1A		1528266	ARP1, Arp1A
ACTR1B	CTRN2	7696711, 10343100	Arp1B
ACTR2		9230079	ARP2
ACTR3		9230079	ARP3
ACTR3-AS1		29959764	AC104653.1
ACTR3B		10806390	ARP11, ARP3beta
ACTR3BP1			
ACTR3BP2			FKSG73
ACTR3BP3			
ACTR3BP4			
ACTR3BP5			
ACTR3BP6			
ACTR3C		11162478, 14651955	ARP11
ACTR3P1			
ACTR3P2			
ACTR3P3			
ACTR5		16230350	FLJ12785, Arp5, INO80M
ACTR6		11368909	ARP6, FLJ13433
ACTR6P1			
ACTR8		18163988, 16230350	INO80N, ARP8
ACTR10		12857853	HARP11, ACTR11, Arp11, Arp10
ACTRT1		12243744	AIP1, KIAA0705, ARIP1, Arp-T1
ACTRT2		11750065, 12243744	Arp-T2, ARPM2, FLJ25424
ACTRT3		11750065, 18692047	ARPM1
ACVR1	ACVRLK2	8397373	SKR1, ALK2, ACVR1A
ACVR1B	ACVRLK4	8397373	ALK4, SKR2, ActRIB
ACVR1C			ALK7, ACVRLK7
ACVR2A	ACVR2	1314589, 10702675	ACTRII
ACVR2B		8161782, 9621519	ActR-IIB
ACVR2B-AS1			
ACVRL1	ACVRLK1, ORW2	8397373, 8640225, 22718755	HHT2, ALK1, HHT
ACY1		1707030, 6948533	
ACY3		14656720	HCBP1, MGC9740, ACY-3
ACYP1		7796909, 9730610	
ACYP2		8268218, 25665007	
AD5		9333264, 10712207	
ADA		6198240, 6090454	
ADA2	IDGFL, CECR1	10756095, 27663683	ADGF
ADAD1		7543294, 9541871	Tenr
ADAD1P1			
ADAD1P2			
ADAD2			TENRL, FLJ00337
ADAL		16245011, 23645737	
ADAM1A	ADAM1	9032439	FTNAP, PH-30a, Ftna, ADAM1P
ADAM1B			
ADAM2	FTNB	8702389, 9070941	PH-30b, PH30, CT15
ADAM3A	CYRN1	9502432, 11439107	ADAM3, tMDCI
ADAM3B	CYRN2	9284909, 9502432, 11439107	
ADAM5	ADAM5P	8786143, 10417343	tMDCII
ADAM6	C14orf96		tMDCIV
ADAM7			GP-83, EAPI
ADAM8		9126482	CD156, MS2, CD156a
ADAM9	CORD9	8647900, 11581183, 19409519	MDC9, KIAA0021, MCMP, Mltng
ADAM10		9344679, 9441766	kuz, MADM, HsT18717, CD156c
ADAM11	MDC	8252040	
ADAM12		9417060, 18342566	MCMPMltna, MLTN
ADAM15		9516430	MDC15
ADAM17	TACE	9034190, 9574564	cSVP, CD156B
ADAM18		12200459	tMDCIII, ADAM27
ADAM19		9806848	MLTNB
ADAM20		9469942	
ADAM20P1	C14orf55		
ADAM20P2			
ADAM20P3			
ADAM21		9469942	ADAM31
ADAM21P1	ADAM21P		
ADAM22		9693107, 10524237	MDC2
ADAM23		9693107	MDC3
ADAM24P			
ADAM28			eMDCII, MDC-Lm, MDC-Ls, ADAM23
ADAM29		10644455	svph1, CT73
ADAM30			svph4
ADAM32		12568724	
ADAM33	C20orf153	11814695	DKFZp434K0521, dJ964F7.1
ADAMDEC1		9271581, 12037602	M12.219
ADAMTS1		10438512	C3-C5, METH1, KIAA1346
ADAMTS2		10094461, 15373769	ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI
ADAMTS3		10094461	KIAA0366, ADAMTS-4
ADAMTS4		10094461	KIAA0688, ADAMTS-2, ADMP-1
ADAMTS5		10438522	ADMP-2, ADAMTS11
ADAMTS6		10464288	ADAM-TS6
ADAMTS7		10464288	ADAM-TS7, DKFZp434H204
ADAMTS7P1	ADAMTS7P2		
ADAMTS7P3			
ADAMTS7P4			
ADAMTS8		10438512	METH2, FLJ41712, ADAM-TS8
ADAMTS9		10936055	KIAA1312
ADAMTS9-AS1		27941916	
ADAMTS9-AS2		24833086, 29707897	
ADAMTS10			ADAM-TS10
ADAMTS12		11279086	
ADAMTS13	C9orf8	11557746, 11535495	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322
ADAMTS14		11779638	
ADAMTS15		11867212	
ADAMTS16		11867212	ADAMTS16s
ADAMTS17		11867212	FLJ32769, FLJ16363
ADAMTS18	ADAMTS21	11867212, 17546048	
ADAMTS19		11867212	
ADAMTS19-AS1			RP11-346A9.1
ADAMTS20		12514189, 12562771	GON-1
ADAMTSL1	C9orf94	9628581, 11805097	ADAMTSR1, FLJ35283
ADAMTSL2		9628581, 14667842	KIAA0605
ADAMTSL3		9628581, 10574462	KIAA1233, punctin-2
ADAMTSL4	TSRC1	12706885	DKFZP434K1772
ADAMTSL4-AS1	C1orf138		FLJ45786
ADAMTSL5	THSD6		
ADAP1	CENTA1	10333475	GCS1L
ADAP2	CENTA2		
ADAR	IFI4, G1P1	7972084	ADAR1
ADARB1		9143496, 14759252	ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d
ADARB2		9272162, 10836796	RED2, hRED2, ADAR3
ADARB2-AS1	C10orf109, NCRNA00168	28874676	bA466B20.1
ADAT1		10430867	
ADAT2	DEADC1	12457566	dJ20N2.1, TAD2
ADAT3		12457566	TAD3
ADCK1		12471243	FLJ39600
ADCK2			MGC20727
ADCK5			FLJ35454
ADCP1		279003, 6933468, 6974523	
ADCY1	DFNB44	8314585, 24482543	AC1
ADCY2		1427768	HBAC2, KIAA1060, AC2
ADCY3		9920776	AC3
ADCY4		7766992	AC4
ADCY5		10481931	AC5
ADCY6			AC6
ADCY7		7860067	KIAA0037, AC7
ADCY8	ADCY3	8076676	HBAC1, AC8
ADCY9		9628827	AC9
ADCY10		23255611	SAC, Sacy, SACI, HCA2, RP1-313L4.2
ADCY10P1			
ADCYAP1		1730060	PACAP
ADCYAP1R1		7902709	PAC1, PACAPR, PAC1R
ADD1		1840603	
ADD2		1840603	ADDB
ADD3	ADDL	8893809	
ADD3-AS1			
ADFN		5801459, 2349949	
ADGB	C6orf103	22115833	FLJ23121, dJ408K24.1, CAPN16
ADGRA1	GPR123	12565841, 25713288	KIAA1828
ADGRA1-AS1	GPR123-AS1		
ADGRA2	GPR124	11559528, 12565841, 25713288	TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390
ADGRA3	GPR125	12565841, 25713288	FLJ38547, PGR21
ADGRB1	BAI1	9533023, 25713288	
ADGRB2	BAI2	9533023, 25713288	
ADGRB3	BAI3	9533023, 25713288	KIAA0550
ADGRD1	GPR133	25713288	DKFZp434B1272, PGR25
ADGRD1-AS1		25599403	LACAT8
ADGRD2	GPR144	25713288	PGR24
ADGRE1	TM7LN3, EMR1	7601460, 9500513, 25713288	
ADGRE2	EMR2	25713288	CD312
ADGRE3	EMR3	11279179, 12975309, 25713288	
ADGRE4P	GPR127, EMR4, EMR4P	12565841, 25713288	PGR16
ADGRE5	CD97	7636245, 8786105, 25713288	TM7LN1
ADGRF1	GPR110	12435584, 14623098, 25713288	hGPCR36, PGR19
ADGRF2	GPR111	12435584, 25713288	hGPCR35, PGR20
ADGRF3	GPR113	12435584, 25713288	hGPCR37, PGR23
ADGRF4	GPR115	12435584, 25713288	FLJ38076, PGR18
ADGRF5	GPR116	12435584, 25713288	DKFZp564O1923, KIAA0758
ADGRF5P1	GPR116P1		
ADGRF5P2	GPR116P2		
ADGRG1	GPR56	10049584, 10100861, 25713288	TM7LN4, TM7XN1
ADGRG2	GPR64	9739419, 9150425, 25713288	HE6, TM7LN2, EDDM6
ADGRG3	GPR97	12435584, 25713288	Pb99, PGR26
ADGRG4	GPR112	12435584, 25713288	RP1-299I16, PGR17
ADGRG5	GPR114	12435584, 25713288	PGR27
ADGRG6	GPR126	12565841, 25118328, 25713288	FLJ14937
ADGRG7	GPR128	25713288	FLJ14454
ADGRL1	LPHN1	10994649, 25713288	KIAA0821, CIRL1, LEC2
ADGRL2	LPHH1, LPHN2	10760572, 25713288	KIAA0786, LEC1
ADGRL3	LPHN3	10994649, 25713288	KIAA0768, LEC3
ADGRL3-AS1	LPHN3-AS1		
ADGRL4	ELTD1	11050079, 25713288	ETL
ADGRV1	USH2C, MASS1, GPR98	10976914, 14740321, 25713288	DKFZp761P0710, KIAA0686, FEB4, VLGR1
ADH1A	ADH1	3006456	
ADH1B	ADH2	3006456	
ADH1C	ADH3	3006456	
ADH4			ADH-2
ADH5	FDH	1446828, 6424546	ADH-3, ADHX, GSNOR
ADH5P2			
ADH5P3			
ADH5P4	ADH5B		bA707M13.2
ADH6		1881901	ADH-5
ADH7		8195208	ADH-4
ADHFE1		12592711	ADHFe1, FLJ32430
ADI1		14718544, 15938715	SIPL, MTCBP-1, ARD, APL1, FLJ10913, HMFT1638, mtnD
ADI1P1			
ADI1P2			
ADI1P3			
ADIG		15567149, 16132694	MGC39724, SMAF1, RP5-1100H13.2
ADIPOQ	ACDC	7592907, 8631877	ACRP30, AdipoQ, apM1, GBP28, adiponectin
ADIPOQ-AS1			
ADIPOR1		12802337	PAQR1, ACDCR1
ADIPOR1P1			
ADIPOR1P2			
ADIPOR2		12802337	PAQR2, ACDCR2
ADIRF	C10orf116	8619847, 23239344	APM2, AFRO
ADIRF-AS1			
ADK		8577746	AK
ADM		7688224	AM
ADM2		14706825	AM2, FLJ21135
ADM5	C19orf76	18434369	AM5
ADNP		9872452, 11013255	KIAA0784, ADNP1
ADNP-AS1			
ADNP2	ZNF508		KIAA0863
ADO	C10orf22	17581819	FLJ14547
ADORA1		1662665, 2541503	RDC7
ADORA2A	ADORA2	1662665, 2541503	RDC8
ADORA2A-AS1	C22orf45	19726446	FLJ34651
ADORA2B		7558011	
ADORA2BP1	ADORA2BP	7558011	
ADORA3		7607699	AD026
ADPGK		11230166	DKFZp434B195, ADP-GK
ADPGK-AS1		29667486	
ADPRH		8349667, 12070318	ARH1
ADPRHL1		12070318, 27217161	ARH2
ADPRHL2		12070318, 16278211	ARH3, FLJ20446
ADPRM	C17orf48	18352857	MDS006
ADRA1A	ADRA1C		ADRA1L1
ADRA1B			
ADRA1D		8039425	ADRA1R, ADRA1A, ADRA1
ADRA2A	ADRA2, ADRA2R		ADRAR
ADRA2B	ADRA2L1, ADRA2RL1	2164221	ADRARL1
ADRA2C	ADRA2L2, ADRA2RL2	1849485	ADRARL2
ADRB1	ADRB1R		
ADRB2	ADRB2R		ADRBR, BAR, B2AR
ADRB3		7898940, 15123695	
ADRM1		8033103	GP110, Rpn13, ARM1
ADSL		8404037	
ADSS		2004783, 1592113	
ADSSL1			FLJ38602
ADTRP	C6orf105	21868574	dJ413H6.1, AIG1L
AEBP1		8920928	ACLP
AEBP2		10329662	MGC17922
AEN	ISG20L1	18264133, 16171785	FLJ12484, FLJ12562
AES		8365415	GRG5, TLE5
AF8T		180537	
AFA		8135297	
AFAP1		14755689, 11641786, 11607843	AFAP-110, AFAP
AFAP1-AS1	AFAP1AS, AFAP1-AS	23333711, 26892468	MGC10981
AFAP1L1			FLJ36748
AFAP1L2	KIAA1914	11572484, 17412687	FLJ14564, Em:AC005383.4, XB130
AFD1		9585434	
AFDN	MLLT4	8242616	AF-6, AF6
AFDN-DT	C6orf124, MLLT4-AS1, AFDN-AS1	10382971	HGC6.4, dJ431P23.3
AFF1	PBM1, MLLT2	7689231, 1423625, 8353274	AF-4, AF4
AFF1-AS1			
AFF2	FMR2		FRAXE
AFF2-IT1			
AFF3	LAF4	8662235, 8555498	MLLT2-like
AFF4		10588740	AF5Q31, MCEF
AFG1L	LACE1	12079282	AFG1
AFG3L1P	AFG3, AFG3L1	9545647, 11549317	
AFG3L2	SCA28	10395799, 18769991	SPAX5
AFG3L2P1	AFG3L2P		
AFM		7517938	ALB2, ALBA
AFMID			DKFZp686F03259, KF
AFP	HPAFP		FETA
AFTPH		14665628, 15758025, 15811338	MGC33965, FLJ20080, FLJ23793, Nbla10388
AGA			ASRG
AGAP1	CENTG2		KIAA1099, GGAP1
AGAP1-IT1			
AGAP2	CENTG1		
AGAP2-AS1		25392693, 27195672	LOC100130776, PUNISHER
AGAP3	CENTG3		
AGAP4	CTGLF1, AGAP8, CTGLF5	12477932	Em:AC012044.1, MRIP2
AGAP5	CTGLF2		Em:AC073389.1
AGAP6	CTGLF3		bA324H6.1
AGAP7P	CTGLF4, AGAP7		bA109G10.1
AGAP9	CTGLF6		bA301J7.2, FLJ00312
AGAP10P	AGAP10, CTGLF7, CTGLF10P		bA358L16.1, bA144G6.2
AGAP11		11853319	KIAA1975
AGAP12P	CTGLF12P		bA164N7.2
AGAP13P	CTGLF9P		bA548K23.1
AGAP14P	CTGLF11P, AGAP14		bA145E20.1
AGBL1		21074048, 24094747	FLJ32310, CCP4
AGBL1-AS1			
AGBL2		12738998, 21303978	FLJ23598, CCP2
AGBL3			MGC32955, CCP3
AGBL4		21074048	FLJ14442, CCP6
AGBL4-IT1			
AGBL5		24022482	FLJ21839, CCP5
AGBL5-AS1			
AGBL5-IT1			
AGER		7713518	RAGE, SCARJ1
AGFG1	HRB	7637788	RIP, RAB
AGFG2	HRBL	9799793	RABR
AGGF1		18564129, 17103452	VG5Q, HSU84971, FLJ10283, GPATC7, GPATCH7
AGGF1P1			
AGGF1P2			
AGGF1P3			
AGGF1P4			
AGGF1P5			
AGGF1P6			
AGGF1P7			
AGGF1P8			
AGGF1P9			
AGGF1P10			
AGK	MULK	15252046, 15939762, 17135245	FLJ10842
AGKP1			AGKY1
AGL		1505983	
